ligand_id	FDA approved
36M	0
SKA	0
I75	0
LGH	0
VRD	0
DGI	0
0R3	0
T5A	0
27K	0
NNC	0
OC9	0
272	0
DC8	0
H0Z	0
6PG	0
OCA	0
PNV	1
DCQ	0
MAH	0
EN9	0
DCZ	0
DP9	0
TBN	0
NDS	0
PHN	0
PNU	0
W8R	0
FBC	0
EY4	0
TME	0
P9N	0
0DV	0
T13	0
AC5	0
HW2	0
BOD	0
QY1	0
ATE	0
AES	0
TNG	1
DGP	0
IRE	1
3MI	0
ETX	0
DMD	0
ARA	0
CPW	0
824	0
H35	0
ASW	0
25A	0
RDC	0
TDR	0
1X9	0
DS9	0
EZL	0
BNF	0
TVU	0
041	0
0J9	0
893	0
3R9	0
H92	0
DIA	0
MIX	1
A5O	0
CYT	0
AS4	0
LOC	1
1N1	1
3K3	0
IMV	0
8VU	0
DUP	0
B3P	0
FXW	0
25L	0
GW9	0
CLU	1
MHF	0
198	1
ITU	0
D4N	0
16V	0
GEL	0
JE2	0
DD3	0
M03	0
PLO	0
SFY	0
AH4	0
DHB	0
SR2	0
PQN	1
K6S	0
BMQ	0
65B	1
NNB	0
KS5	0
2YQ	0
MOO	0
HBQ	0
340	0
2CS	0
IQS	0
MAE	0
BMV	0
1AW	0
CIR	0
DCT	0
R18	0
ETV	1
CL9	1
OCH	0
S17	0
P85	0
UNN	0
2RZ	0
PDC	0
L20	0
URA	0
PHT	0
6Q5	0
BO3	1
LNV	0
K6M	0
A74	0
BLZ	0
73Q	0
ST1	0
4HY	0
2H3	0
949	0
ISN	0
336	0
PEP	0
PRA	0
53V	0
A3M	0
POD	1
G4C	0
AZS	0
ECG	0
HPN	0
AZO	0
DA2	0
EAA	1
RXM	1
AC2	1
D27	0
2RB	0
CYZ	0
ZMR	1
AE3	0
BMD	0
ZST	0
IMG	0
UN1	0
VIB	1
FE1	0
NTB	0
ANP	0
PTD	0
ABU	0
D25	0
919	0
ST3	0
KLQ	0
LYC	0
YNU	1
6T2	0
E70	0
HXA	1
9CR	1
AZZ	1
DLY	0
NDR	1
P8H	0
IBP	1
94M	0
NDT	0
142	1
ACD	0
SAK	0
PIM	0
IDQ	0
CQU	0
AIC	1
MA9	0
L0B	0
XPG	1
TTB	0
385	0
8HG	0
3RL	0
G2H	0
DNC	0
HE7	0
PSI	0
LDA	0
TPB	0
IZA	0
DGT	0
A37	0
RMA	0
PAN	0
4HC	0
FB8	0
PYD	0
3BE	0
ZZ1	0
VDN	1
LAB	0
DE3	0
AP2	0
0HK	1
PDZ	0
MED	0
MTX	1
93J	0
HX7	0
DLE	0
DSN	0
DDS	0
IND	0
TSN	0
QUE	0
1TB	0
4MV	0
2V8	0
6P9	0
TYD	0
TA1	1
P77	1
SM5	0
PPT	0
AFB	0
GVO	0
HFG	0
3G8	0
NUT	0
AZM	1
T27	1
PAM	0
20M	0
6VW	0
34W	0
TUA	1
DCF	1
SUE	1
H12	0
MXX	0
BCZ	1
1QR	0
ADL	0
HEE	0
PYG	0
ANC	0
L35	0
DIF	1
TXQ	0
B49	1
GUN	0
HED	0
PGE	0
NFG	0
JYS	0
4RF	0
CAM	1
PCA	0
GVN	0
VSO	0
P16	0
TY5	0
D4T	0
D45	0
P0T	0
IAC	0
DPR	0
F01	0
010	1
B7G	0
EDS	0
CDC	0
ID8	1
HHA	0
HYP	1
DAL	0
7HC	0
1C9	0
ABN	0
AKR	0
HEZ	0
DX4	1
IXM	0
DUB	0
MST	0
RAP	1
URI	0
XP1	0
KZZ	0
CAC	0
I2I	0
PZO	0
STU	0
6WT	0
W56	0
PZ2	0
CRD	0
R47	0
XIN	1
KMP	0
CLT	1
NND	0
DD2	0
PFN	1
DKA	0
CTN	0
GX0	0
6FV	0
R8E	0
CER	0
GA2	1
EMA	0
VGA	0
7A4	0
NO3	0
PYF	0
PEY	0
NNI	0
ANL	0
8NG	0
PEM	0
CFE	0
BTD	0
PRS	0
DHC	0
141	0
B82	0
F50	0
PN6	0
KIV	0
3NG	0
NMY	0
4IP	0
DMS	1
HSE	0
6KT	0
AMQ	0
TUD	0
FSE	0
FRD	1
ETF	0
UPP	0
L05	0
SAR	0
5OB	0
GM6	0
SXX	0
HCI	0
AOM	0
OAS	0
LMS	0
T22	1
GDE	0
UWN	0
K6P	0
61T	0
08H	1
MTL	1
4MB	0
TEP	1
83R	0
859	0
CBE	0
IPU	0
T5P	0
CBC	0
PS4	0
3TC	1
S61	0
BCR	0
L4T	0
VDY	1
PE2	1
BES	0
TP4	0
BRZ	0
OX3	0
8Z0	0
OGK	0
DBB	0
1YE	0
CXQ	1
3BT	0
GLV	0
W54	0
PXL	0
252	0
NDG	0
Q21	0
YZ9	0
ZJB	0
UC4	0
FOH	0
MOH	0
MSR	0
GGO	0
032	1
FIT	1
UTP	0
BJX	1
AOA	0
RHN	0
MGR	0
1K5	0
RIT	1
1PG	0
FOM	0
RMN	0
4NP	0
EWL	0
BX7	0
1UN	1
LDO	0
SIS	0
DXT	1
2OP	1
NOS	1
YCP	0
FGL	0
CNH	0
PAB	0
307	0
SB4	0
BEC	0
IPA	1
AM2	0
PFD	0
BDE	0
JJZ	0
7KC	0
B1T	0
BY6	0
04J	0
TMJ	0
EIC	0
RX8	0
4MP	0
TOK	0
DMQ	0
DXX	0
N3C	0
12H	0
TP0	1
ED4	0
A49	0
4OH	0
AVL	0
I0G	0
HBH	0
DP1	0
5XP	0
1RG	0
CBO	0
1AC	0
ISP	0
LL1	0
SRT	0
GAS	0
2FA	0
AKG	0
U57	0
SHA	0
SUV	1
2OW	0
MES	0
1JY	0
2TL	0
RTZ	1
I5S	0
HGA	0
MR5	0
NCT	1
MOF	0
RT3	0
CAN	0
UP6	0
LA1	0
BHL	0
12Q	0
ECS	0
LI	0
9XY	0
TYU	0
803	1
NJV	0
RH1	0
8HO	0
H52	0
DTP	0
T88	0
BAL	0
H98	1
MMA	0
2HA	0
DHT	0
NTK	0
FYX	0
ANB	0
VD1	0
MIG	1
IDN	0
AKE	0
GR8	0
ANO	0
SY9	0
FSP	0
08D	1
8TC	0
FLC	0
F89	0
CV7	0
V2H	1
CAQ	0
5HG	0
NNH	0
3PG	0
PPF	1
7BD	0
TMA	0
NVA	0
TMG	0
E4P	0
EDO	0
BNT	0
ETE	0
1LS	0
NAR	0
ABV	0
LJ5	0
555	0
KAN	0
16S	0
HPP	0
KRG	0
147	0
HCS	0
AS0	0
63J	0
MPB	0
6D8	0
AHD	0
TAS	0
5FW	1
DZ3	0
612	0
BMP	0
C1V	0
2PC	0
8GC	0
BEO	0
869	0
1BO	0
CO2	0
PX4	0
KXN	0
1AU	0
PRZ	0
JI3	0
WBU	0
G3P	0
M28	0
NGA	0
DCW	0
AN4	0
JT1	0
DLI	0
417	0
DEW	0
3QB	1
8HD	0
TIV	0
GVR	0
R2D	0
NAG	0
DGN	0
5CA	0
AGI	0
715	1
MXP	0
IPL	0
ZY7	0
OHM	0
AVF	0
ZHZ	0
2BE	0
DTU	0
LMU	0
CDP	0
RTP	0
1E8	1
CB3	0
WSH	0
C95	0
7V7	1
OXD	0
NUP	0
JHN	0
877	0
3TJ	0
V9J	0
HXM	0
MFR	0
3CA	0
A95	0
HIC	0
ACT	0
OLA	1
UA2	0
CQW	0
E20	1
BML	0
LJ1	0
4EA	0
BI1	0
S87	0
DCE	0
TLS	1
LSD	0
HQO	0
BB1	0
LLT	1
F9R	0
O6M	0
VLB	1
AG2	0
4TX	1
IPH	1
TYP	0
20W	0
9AR	0
TOY	1
LLL	0
ANW	0
27L	0
PTO	0
TO1	0
H6N	0
SP6	0
SC0	0
MEF	0
ZOF	0
BH0	0
KIF	0
WHJ	0
2BR	0
MLT	0
CMO	0
PBC	0
KS1	0
IMZ	0
BER	0
7T1	0
R75	0
AAC	0
028	0
B65	0
6EA	0
R22	0
BQM	0
PH3	0
3DH	0
CRP	0
SHV	0
03M	0
C4E	0
B76	0
ERG	0
BFS	0
O1V	0
APB	0
THP	0
TSA	0
ROP	0
697	0
GAL	0
NIO	1
PT1	0
LRG	0
CIA	1
NBV	1
2GJ	0
PBR	0
CIB	0
P7M	0
RSO	0
G04	0
HYS	0
SD5	0
GTF	0
FBP	0
M3L	0
53R	0
C5E	0
HY1	0
04A	0
7M6	0
H1B	0
HJG	0
GWB	0
DOG	0
AT1	0
B08	0
LAE	0
7AC	0
P68	0
0JN	0
MN9	0
GA3	0
093	0
8PR	1
2AN	0
SIA	0
HCZ	1
TBU	0
570	0
ICB	0
P4G	0
CHO	0
TXL	1
BG6	0
936	0
PIT	0
AER	1
LYA	1
8BR	0
2CH	0
4CC	0
HHR	0
CMP	0
EQI	0
GCO	1
J77	0
008	0
UQA	0
MKC	0
EWJ	0
M6P	0
ET1	0
F5A	1
TEI	1
1MY	0
FT2	0
NPV	0
Y11	0
DXE	0
JZ0	0
PB2	0
HXD	0
ROK	0
OBN	0
AND	1
LYT	0
ARS	0
HOM	0
TYL	1
CTY	1
BRB	0
654	0
ICD	0
3FG	0
789	0
735	0
MZR	0
TCW	1
IWD	0
GIR	0
BM3	0
GBN	1
PTG	0
SN2	0
LTX	0
AX3	0
4BE	0
M4D	0
PXM	0
KOJ	0
6EU	0
O6P	1
LEA	0
TYZ	0
AZ5	0
2LP	0
8CG	0
152	1
NOG	1
MTA	0
DFA	0
244	0
AMZ	0
IXX	1
BEZ	1
XAN	0
ZEA	0
1V0	0
NGT	0
QOP	0
SSA	0
N09	0
EX0	0
DFV	0
DR7	1
TFM	0
8V0	0
PFL	1
VDX	1
PYR	1
W11	0
MCM	0
DGX	1
HDZ	0
4TB	0
REA	0
RED	0
ZLD	1
EPA	1
311	0
RBV	1
4CH	0
BIG	0
A46	0
VDZ	0
FLP	1
NVP	1
8PC	0
AKN	1
MBG	0
B96	0
ECV	0
U5P	0
TB9	0
N7R	0
L07	0
GG2	1
3C0	0
2YA	0
NBG	0
53S	0
ZK1	0
AEF	0
3PP	0
DAB	0
BM1	0
PIO	0
2C0	1
1RZ	0
PIH	0
1LD	1
PPY	0
T98	0
MSI	0
KDH	0
CAD	0
IHP	0
GVK	0
LVO	0
3K9	0
PFA	0
486	1
HQQ	0
PB5	0
15Z	0
SS3	0
BRU	0
GCE	0
608	0
6FB	0
ABJ	0
NTD	0
DHL	1
DSG	0
BSU	0
LTT	0
GR6	0
QNO	0
D28	0
RES	0
MCO	0
TCL	1
FPP	0
OXM	0
UCM	0
N76	0
IS8	0
DZG	0
G93	0
PUT	0
FA1	0
IOL	0
3CJ	1
PEL	0
SBH	0
IET	0
TSB	0
PRF	0
G64	0
CO3	0
TKT	0
IM4	0
P2E	1
TFX	0
BUB	0
EBT	0
3WL	0
3H4	0
AGS	0
NPY	0
88Z	0
6NI	0
OLP	0
RIP	0
4SP	0
HRG	0
AE2	0
9PL	1
PPV	1
MBT	1
V55	0
D26	0
V0L	0
AH1	0
ZEC	0
CRS	0
KR2	0
SOA	0
PHH	0
327	0
LON	0
CL8	0
10B	0
FOR	0
NGH	0
NBU	0
E42	0
EDN	0
68H	1
JDP	0
34O	0
T44	1
JJ3	0
GZR	0
3PO	0
FUX	0
IMI	0
031	0
STD	0
NME	0
PZL	0
RJ6	0
CXF	0
KX7	0
DAS	0
FUA	0
MRE	0
SS4	0
DBH	0
RFP	1
AZA	0
DIZ	0
HC4	0
FMT	0
GE6	0
2S0	1
H20	0
AI7	0
LCJ	0
JEV	1
9UO	0
DUR	0
2BC	0
D4D	0
UFP	0
SUZ	1
MBD	0
992	0
HCY	1
007	0
MGM	0
LQZ	1
VXX	0
FWD	0
BAT	0
2IH	0
0LO	0
AMB	0
4HP	0
657	1
10A	1
2PM	1
AD3	0
UN9	0
SKF	0
KYA	0
HC2	0
DCN	0
C91	0
AZ2	0
PHU	0
5UD	0
SQL	0
33E	0
FBX	1
ISQ	0
2CA	0
AOQ	1
BEE	0
2OH	0
DMJ	0
BO2	1
CTC	0
CPA	0
P06	1
4PI	0
E2M	0
LB7	0
ZYC	0
DFB	0
A73	0
SNP	1
W35	0
P4A	0
KB8	0
RCO	1
TP3	0
A9G	0
HZ4	0
OXY	0
ENO	0
CX5	0
TAR	0
CPB	0
HE1	0
THM	0
P34	0
B72	0
K25	0
BMK	0
MTP	0
5AD	0
TDA	0
BAX	1
NFA	0
DIO	0
FRU	0
ETM	0
2B4	0
GOK	0
REF	0
ACP	0
RBS	0
G1L	0
L5B	0
338	0
DPN	0
BTS	0
UMP	0
MYR	0
SLB	0
BUA	0
MFU	0
NBB	0
2KT	0
PYS	0
SDL	0
5NS	0
8A7	0
DZP	1
ETA	0
277	0
9HX	0
FDS	0
22D	0
GAI	1
LL2	0
ADQ	0
RIO	0
JN3	1
5PV	0
F6O	0
1CE	0
AZ1	1
8SO	0
AMI	0
N2P	0
EVP	1
RXT	1
20B	0
RS4	0
ABF	0
BPR	0
MPP	0
IOP	0
HBA	0
IMN	1
DMF	0
PH2	0
BLD	0
C8Q	0
UDA	0
9X7	0
M2P	0
O	0
YR1	0
D16	0
BNL	0
736	0
LXL	0
